Freq,Thru
1000000000,-0.47168633
1001000000,-0.47109687
1002000000,-0.47050571
1003000000,-0.46992061
1004000000,-0.46932936
1005000000,-0.46874323
1006000000,-0.4681569
1007000000,-0.4675706
1008000000,-0.4669857
1009000000,-0.46640134
1010000000,-0.46581873
1011000000,-0.46523905
1012000000,-0.46465462
1013000000,-0.46407476
1014000000,-0.46349359
1015000000,-0.46291289
1016000000,-0.46233562
1017000000,-0.46175832
1018000000,-0.4611809
1019000000,-0.46060437
1020000000,-0.46002939
1021000000,-0.45945698
1022000000,-0.45888123
1023000000,-0.4583109
1024000000,-0.45774126
1025000000,-0.45717296
1026000000,-0.45660272
1027000000,-0.45603627
1028000000,-0.45546976
1029000000,-0.45490423
1030000000,-0.45433819
1031000000,-0.45377481
1032000000,-0.45321232
1033000000,-0.45264983
1034000000,-0.45208892
1035000000,-0.45152998
1036000000,-0.45097229
1037000000,-0.45041397
1038000000,-0.44985479
1039000000,-0.44929862
1040000000,-0.44874433
1041000000,-0.44818801
1042000000,-0.44763321
1043000000,-0.44707599
1044000000,-0.44652387
1045000000,-0.44597089
1046000000,-0.44541645
1047000000,-0.44486517
1048000000,-0.44431105
1049000000,-0.44375739
1050000000,-0.44320661
1051000000,-0.44265577
1052000000,-0.44210243
1053000000,-0.44155273
1054000000,-0.44100091
1055000000,-0.44044989
1056000000,-0.43990102
1057000000,-0.439349
1058000000,-0.43880007
1059000000,-0.4382523
1060000000,-0.43770134
1061000000,-0.43715167
1062000000,-0.43660322
1063000000,-0.43605837
1064000000,-0.43551284
1065000000,-0.43496507
1066000000,-0.43441883
1067000000,-0.4338747
1068000000,-0.43333045
1069000000,-0.43278661
1070000000,-0.43223861
1071000000,-0.43169564
1072000000,-0.43115076
1073000000,-0.43060747
1074000000,-0.43006447
1075000000,-0.42952353
1076000000,-0.42898187
1077000000,-0.42844182
1078000000,-0.42790011
1079000000,-0.42736125
1080000000,-0.42682177
1081000000,-0.42628554
1082000000,-0.42574748
1083000000,-0.42521086
1084000000,-0.42467648
1085000000,-0.42414171
1086000000,-0.42360926
1087000000,-0.4230766
1088000000,-0.42254487
1089000000,-0.42201307
1090000000,-0.42148489
1091000000,-0.42095405
1092000000,-0.42042476
1093000000,-0.41989747
1094000000,-0.41937107
1095000000,-0.4188475
1096000000,-0.41832045
1097000000,-0.41779712
1098000000,-0.41727376
1099000000,-0.41675243
1100000000,-0.41623104
1101000000,-0.41570902
1102000000,-0.41519117
1103000000,-0.41467234
1104000000,-0.41415337
1105000000,-0.41363484
1106000000,-0.41311955
1107000000,-0.41260096
1108000000,-0.41208827
1109000000,-0.41157326
1110000000,-0.41105947
1111000000,-0.41054499
1112000000,-0.41002986
1113000000,-0.40951791
1114000000,-0.40900427
1115000000,-0.40849659
1116000000,-0.40798119
1117000000,-0.40747121
1118000000,-0.4069595
1119000000,-0.4064486
1120000000,-0.40593946
1121000000,-0.40542746
